scenario,state,year,load_TWh,load_normalized
rcp85cooler_ssp3,KS,2015,43.2364785228892,0.971
rcp85cooler_ssp3,KS,2020,44.538946600639,1.0
rcp85cooler_ssp3,KS,2025,43.1663275891384,0.969
rcp85cooler_ssp3,KS,2030,43.8586989883517,0.985
rcp85cooler_ssp3,KS,2035,43.0924689479434,0.968
rcp85cooler_ssp3,KS,2040,46.1729352321612,1.037
rcp85cooler_ssp3,KS,2045,46.0965735206704,1.035
rcp85cooler_ssp3,KS,2050,47.3637537622304,1.063
rcp85cooler_ssp3,KS,2055,47.9331370800298,1.076
rcp85cooler_ssp3,KS,2060,54.6928792265018,1.228
rcp85cooler_ssp3,KS,2065,57.9989192949616,1.302
rcp85cooler_ssp3,KS,2070,59.4514012305535,1.335
rcp85cooler_ssp3,KS,2075,59.1382340049241,1.328
rcp85cooler_ssp3,KS,2080,61.0254885878783,1.37
rcp85cooler_ssp3,KS,2085,59.3769055811816,1.333
rcp85cooler_ssp3,KS,2090,58.6403134312944,1.317
rcp85cooler_ssp3,KS,2095,55.8286037171302,1.253
rcp85cooler_ssp3,KS,2100,55.9921172176838,1.257
rcp85cooler_ssp3,KY,1975,33.5632336111114,0.41
rcp85cooler_ssp3,KY,1990,67.4022670059728,0.823
rcp85cooler_ssp3,KY,2005,97.3491537502786,1.189
rcp85cooler_ssp3,KY,2010,101.476169003334,1.239
rcp85cooler_ssp3,KY,2015,81.4110617222229,0.994
rcp85cooler_ssp3,KY,2020,81.8940796906423,1.0
rcp85cooler_ssp3,KY,2025,81.5209539470784,0.995
rcp85cooler_ssp3,KY,2030,81.2976182350456,0.993
rcp85cooler_ssp3,KY,2035,83.289610462479,1.017
rcp85cooler_ssp3,KY,2040,83.8242411271721,1.024
rcp85cooler_ssp3,KY,2045,83.6263979991437,1.021
rcp85cooler_ssp3,KY,2050,84.9869337156571,1.038
rcp85cooler_ssp3,KY,2055,82.2474926386737,1.004
rcp85cooler_ssp3,KY,2060,85.6875551580257,1.046
rcp85cooler_ssp3,KY,2065,86.3794237284527,1.055
rcp85cooler_ssp3,KY,2070,84.907858326909,1.037
rcp85cooler_ssp3,KY,2075,85.8532895556618,1.048
